,X,Y,X1,Y1,X2,Y2,X3,Y3,X4,Y4
81,2011.6061898668183,11000.73196699498,2014.7343002038008,7253.060952887967,2017.0699559220816,7181.694170881045,2015.9855443385943,6133.151450625519,,
82,2011.6896061424716,11205.682725578956,2015.0679653064128,7242.081447963825,2017.3619128868668,7121.306893798266,2016.3192094412057,6116.682193239307,,
83,2011.773022418124,11388.67447431465,2015.401630409024,7209.142933191399,2018.5714488838332,6989.552834708567,2016.6528745438168,6089.233430928953,,
84,2011.8731219489075,11622.903912696338,2015.735295511636,7165.224913494832,2018.905113986445,6973.083577322353,2016.9865396464288,6067.274421080669,,
85,2012.148395658562,11716.22970455154,2016.068960614247,7132.286398722408,2019.2387790890564,6863.288528080939,2017.3202047490404,6045.315411232386,,
86,2012.4820607611737,11644.86292254462,2016.402625716859,7104.837636412054,2019.9756228573235,6608.929997338324,2017.653869851652,6045.315411232386,,
87,2012.815725863785,11573.4961405377,2016.7362908194705,7071.89912163963,2020.323190672544,6731.534468991238,2017.9875349542635,6061.784668618599,,
88,2013.1493909663968,11540.557625765276,2017.0699559220816,7033.470854405134,2020.6568557751552,6852.309023156797,2018.3212000568749,6089.233430928953,,
89,2013.483056069008,11535.067873303204,2017.4036210246927,7033.470854405134,2020.9905208777668,6940.145062549929,2018.6548651594865,6133.151450625519,,
90,2013.8167211716195,11518.598615916992,2017.7372861273047,7033.470854405134,2021.3241859803784,6945.634815011999,2018.9885302620976,6122.171945701377,,
91,2014.150386274231,11535.067873303204,2018.070951229916,6989.552834708567,2021.6578510829895,6945.634815011999,2019.3221953647092,6045.315411232386,,
92,2014.484051376843,11562.51663561356,2018.404616332528,6923.675805163717,2021.9915161856013,6929.165557625787,2019.6558604673207,5957.479371839252,,
93,2014.817716479454,11578.985892999772,2018.7382814351392,6852.309023156797,2022.325181288213,6945.634815011999,2019.9895255699323,5930.030609528898,,
94,2015.1513815820656,11557.026883151488,2019.0719465377504,6797.411498536088,2022.658846390824,6945.634815011999,2020.323190672544,6050.8051636944565,,
95,2015.485046684677,11502.12935853078,2019.4056116403624,6748.00372637745,2022.992511493436,6956.614319936141,2020.6568557751552,6188.048975246227,,
96,2015.8187117872883,11447.231833910071,2019.7392767429735,6698.595954218814,2023.201052182568,6989.552834708567,2020.9905208777668,6303.333776949714,,
97,2016.1523768899,11441.742081448,2020.072941845585,6731.534468991238,2023.6181335608323,7033.470854405134,2021.3241859803784,6308.823529411786,,
98,2016.486041992512,11447.231833910071,2020.406606948197,6901.716795315433,,,2021.6578510829895,6303.333776949714,,
99,2016.819707095123,11447.231833910071,2020.740272050808,7066.409369177558,,,2021.9915161856013,6286.864519563502,,
100,2017.1533721977344,11375.86505190315,2021.07393715342,7165.224913494832,,,2022.325181288213,6308.823529411786,,
101,2017.487037300346,11255.090497737594,2021.4076022560312,7154.24540857069,,,2022.658846390824,6308.823529411786,,
102,2017.8207024029573,11139.805696034104,2021.7412673586427,7121.306893798266,,,2022.992511493436,6314.313281873856,,
103,2018.154367505569,11057.459409103045,2022.074932461254,7121.306893798266,,,2023.2427603203944,6352.741549108352,,
104,2018.4880326081804,11002.561884482337,2022.4085975638657,7110.327388874124,,,2023.6598416986587,6402.149321266988,,
105,2018.821697710792,10942.174607399556,2022.7422626664768,7077.3888741017,,,2023.9100905256173,6429.598083577343,,
106,2019.155362813404,10859.828320468494,2023.0759277690888,7077.3888741017,,,,,,
107,2019.489027916015,10761.01277615122,2023.743257974312,7115.817141336196,,,,,,
108,2019.8226930186263,10651.217726909805,2023.951798663444,7121.306893798266,,,,,,
109,2020.156358121238,10546.912430130458,,,,,,,,
110,2020.4900232238492,10426.1378759649,,,,,,,,
111,2020.823688326461,10321.832579185551,,,,,,,,
112,2021.1573534290728,10173.60926270964,,,,,,,,
113,2021.491018531684,10036.365451157872,,,,,,,,
114,2021.8246836342955,9888.14213468196,,,,,,,,
115,2022.158348736907,9789.326590364684,,,,,,,,
116,2022.4920138395184,9712.470055895694,,,,,,,,
117,2022.82567894213,9641.103273888772,,,,,,,,
118,2023.1593440447416,9602.675006654275,,,,,,,,
119,2023.6598416986587,9586.205749268063,,,,,,,,
120,2023.9100905256173,9569.736491881851,,,,,,,,
