,key,year,value
442,Gabon,2050,27605.0
443,Gambia,1800,920.0
444,Gambia,1850,949.0
445,Gambia,1900,978.0
446,Gambia,1950,1142.0
447,Gambia,2000,2270.0
448,Gambia,2023,2336.0
449,Gambia,2050,4175.0
450,Georgia,1800,615.0
451,Georgia,1850,711.0
452,Georgia,1900,1135.0
453,Georgia,1950,3164.0
454,Georgia,2000,4919.0
455,Georgia,2023,16917.0
456,Georgia,2050,38960.0
457,Germany,1800,1827.0
458,Germany,1850,2646.0
459,Germany,1900,5531.0
460,Germany,1950,7191.0
461,Germany,2000,42928.0
462,Germany,2023,55312.0
463,Germany,2050,91872.0
464,Germany,1700,1418.200950545337
465,Germany,1750,1546.6611815729893
466,Ghana,1800,788.0
467,Ghana,1850,820.0
468,Ghana,1900,820.0
469,Ghana,1950,1903.0
470,Ghana,2000,2807.0
471,Ghana,2023,5880.0
472,Ghana,2050,11887.0
473,Greece,1800,1781.0
474,Greece,1850,1868.0
475,Greece,1900,2292.0
476,Greece,1950,3548.0
477,Greece,2000,29134.0
478,Greece,2023,31464.0
479,Greece,2050,54431.0
480,Greece,1700,797.4781412854555
481,Greece,1750,863.2349155646508
482,Grenada,1800,1086.0
483,Grenada,1850,1236.0
484,Grenada,1900,1528.0
485,Grenada,1950,1790.0
486,Grenada,2000,11613.0
487,Grenada,2023,16142.0
488,Grenada,2050,29564.0
489,Guatemala,1800,970.0
490,Guatemala,1850,1242.0
491,Guatemala,1900,1866.0
492,Guatemala,1950,3863.0
493,Guatemala,2000,6500.0
494,Guatemala,2023,9146.0
495,Guatemala,2050,15398.0
496,Guinea,1800,509.0
497,Guinea,1850,543.0
498,Guinea,1900,602.0
499,Guinea,1950,1041.0
500,Guinea,2000,1705.0
501,Guinea,2023,2858.0
502,Guinea,2050,5294.0
503,Guinea-Bissau,1800,641.0
504,Guinea-Bissau,1850,660.0
505,Guinea-Bissau,1900,687.0
506,Guinea-Bissau,1950,691.0
507,Guinea-Bissau,2000,1723.0
508,Guinea-Bissau,2023,2031.0
509,Guinea-Bissau,2050,3815.0
510,Guyana,1800,1374.0
511,Guyana,1850,1687.0
512,Guyana,1900,2363.0
513,Guyana,1950,4601.0
514,Guyana,2000,7776.0
515,Guyana,2023,15319.0
516,Guyana,2050,31535.0
517,Haiti,1800,717.0
518,Haiti,1850,976.0
519,Haiti,1900,1623.0
520,Haiti,1950,2081.0
521,Haiti,2000,2944.0
522,Haiti,2023,2809.0
523,Haiti,2050,4344.0
524,Honduras,1800,764.0
525,Honduras,1850,1123.0
526,Honduras,1900,2034.0
527,Honduras,1950,2346.0
528,Honduras,2000,4109.0
529,Honduras,2023,5889.0
530,Honduras,2050,10412.0
531,"Hong Kong, China",1800,1147.0
532,"Hong Kong, China",1850,1401.0
533,"Hong Kong, China",1900,2263.0
534,"Hong Kong, China",1950,4745.0
535,"Hong Kong, China",2000,36317.0
536,"Hong Kong, China",2023,63227.0
537,"Hong Kong, China",2050,113292.0
538,Hungary,1800,1413.0
539,Hungary,1850,1828.0
540,Hungary,1900,3117.0
541,Hungary,1950,4595.0
542,Hungary,2000,19415.0
543,Hungary,2023,35918.0
544,Hungary,2050,67897.0
545,Iceland,1800,1048.0
546,Iceland,1850,1457.0
547,Iceland,1900,2663.0
548,Iceland,1950,9878.0
549,Iceland,2000,41531.0
550,Iceland,2023,54804.0
551,Iceland,2050,98424.0
552,India,1800,1202.0
553,India,1850,1101.0
554,India,1900,1110.0
555,India,1950,1147.0
556,India,2000,2579.0
557,India,2023,7617.0
558,India,2050,17477.0
559,India,1700,577.7198229771408
560,India,1750,570.2539384369517
561,Indonesia,1800,1121.0
562,Indonesia,1850,842.0
563,Indonesia,1900,1338.0
564,Indonesia,1950,1566.0
565,Indonesia,2000,5689.0
566,Indonesia,2023,12894.0
567,Indonesia,2050,27170.0
568,Iran,1800,1022.0
569,Iran,1850,1074.0
570,Iran,1900,1359.0
571,Iran,1950,3187.0
572,Iran,2000,10067.0
573,Iran,2023,13240.0
574,Iran,2050,21566.0
575,Iraq,1800,1026.0
576,Iraq,1850,1074.0
577,Iraq,1900,1359.0
578,Iraq,1950,2527.0
579,Iraq,2000,4242.0
580,Iraq,2023,10205.0
581,Iraq,2050,15399.0
582,Ireland,1800,1639.0
583,Ireland,1850,2131.0
584,Ireland,1900,4448.0
585,Ireland,1950,6398.0
586,Ireland,2000,47997.0
587,Ireland,2023,110915.0
588,Ireland,2050,198183.0
589,Ireland,1700,1023.2316237190175
590,Ireland,1750,1114.1582589861875
591,Israel,1800,2842.0
592,Israel,1850,2931.0
593,Israel,1900,3113.0
594,Israel,1950,4983.0
595,Israel,2000,29950.0
596,Israel,2023,43696.0
597,Israel,2050,75762.0
598,Italy,1800,2794.0
599,Italy,1850,3036.0
600,Italy,1900,3794.0
601,Italy,1950,6489.0
602,Italy,2000,43054.0
603,Italy,2023,43567.0
604,Italy,2050,69713.0
605,Italy,1700,1405.0
606,Italy,1750,1562.0
607,Jamaica,1800,1298.0
608,Jamaica,1850,1008.0
609,Jamaica,1900,1076.0
610,Jamaica,1950,2459.0
611,Jamaica,2000,9345.0
612,Jamaica,2023,9674.0
613,Jamaica,2050,16427.0
614,Japan,1800,1531.0
615,Japan,1850,1669.0
616,Japan,1900,2468.0
617,Japan,1950,3559.0
618,Japan,2000,36323.0
619,Japan,2023,43274.0
620,Japan,2050,70508.0
621,Japan,1700,923.2468249585933
622,Japan,1750,986.9553721768011
623,Jordan,1800,1022.0
624,Jordan,1850,1178.0
625,Jordan,1900,1664.0
626,Jordan,1950,3082.0
627,Jordan,2000,8742.0
628,Jordan,2023,10463.0
629,Jordan,2050,19701.0
630,Kazakhstan,1800,1291.0
631,Kazakhstan,1850,1604.0
632,Kazakhstan,1900,2786.0
633,Kazakhstan,1950,6847.0
634,Kazakhstan,2000,10276.0
635,Kazakhstan,2023,27124.0
636,Kazakhstan,2050,48984.0
637,Kenya,1800,967.0
638,Kenya,1850,1130.0
639,Kenya,1900,1321.0
640,Kenya,1950,1694.0
641,Kenya,2000,3189.0
642,Kenya,2023,4840.0
643,Kenya,2050,9312.0
644,Kiribati,1800,624.0
645,Kiribati,1850,652.0
646,Kiribati,1900,682.0
647,Kiribati,1950,2303.0
648,Kiribati,2000,2184.0
649,Kiribati,2023,2294.0
650,Kiribati,2050,3582.0
