date,GPRD_MA30,GPRD_MA7,GPRD
2021-02-21,69.18127,62.48996,37.47248
2021-02-22,69.6767,63.92544,71.28912
2021-02-23,71.78889,64.73509,97.42846
2021-02-24,69.7021,60.94544,77.84102
2021-02-25,69.56639,62.73258,46.18282
2021-02-26,71.30964,67.87323,121.14056
2021-02-27,70.25645,76.07784,81.19038
2021-02-28,70.36314,80.21282,66.4174
2021-03-01,71.50908,83.78517,96.29558
2021-03-02,75.2951,89.5053,137.46935
2021-03-03,78.44643,100.46894,154.58649
2021-03-04,74.98309,106.50601,88.44234
2021-03-05,75.61842,101.91197,88.98228
2021-03-06,74.94545,98.59842,57.99552
2021-03-07,71.93988,91.43565,16.27797
2021-03-08,71.85097,86.30734,60.39745
2021-03-09,70.97714,69.84914,22.26188
2021-03-10,70.46173,55.95697,57.34138
2021-03-11,70.76585,53.37758,70.38657
2021-03-12,69.91428,47.72009,49.37989
2021-03-13,70.21851,49.80447,72.58614
2021-03-14,69.23492,53.73862,43.81703
2021-03-15,71.73429,61.05364,111.60258
2021-03-16,74.51945,73.42216,108.84151
2021-03-17,75.58848,78.56078,93.31177
2021-03-18,77.02779,87.78275,134.94034
2021-03-19,74.97729,86.8504,42.8534
2021-03-20,74.83782,80.69363,29.48874
2021-03-21,72.87563,78.1898,26.29022
2021-03-22,76.0556,79.26901,119.15711
2021-03-23,78.12196,77.9293,99.46352
2021-03-24,78.29379,75.5196,76.44387
2021-03-25,77.17234,65.35455,63.785
2021-03-26,76.90369,69.20142,69.78147
2021-03-27,76.74184,70.89268,41.32762
2021-03-28,75.22481,77.94114,75.6294
2021-03-29,76.6263,78.52376,123.2354
2021-03-30,77.59319,77.94665,95.42376
2021-03-31,76.9282,77.93266,76.34599
2021-04-01,74.60241,78.49131,67.69553
2021-04-02,71.63965,77.90879,65.70382
2021-04-03,71.75223,85.12193,91.81957
2021-04-04,69.56741,77.66601,23.43798
2021-04-05,70.11954,70.7123,74.5594
2021-04-06,72.66991,70.3359,92.78901
2021-04-07,74.44968,75.68511,113.79049
2021-04-08,74.79167,70.66028,32.5217
2021-04-09,74.48057,68.13234,48.00823
2021-04-10,73.21583,59.65017,32.44434
2021-04-11,73.19763,63.27816,48.83392
2021-04-12,74.12412,66.96693,100.38084
2021-04-13,75.83999,67.32465,95.29305
2021-04-14,78.33002,77.68366,186.30353
2021-04-15,78.14395,87.78907,103.2596
2021-04-16,78.20132,94.50685,95.03268
2021-04-17,77.08348,104.35839,101.40514
2021-04-18,77.48229,105.21325,54.81791
2021-04-19,80.17997,106.64726,110.41893
2021-04-20,83.47913,110.92899,125.26517
2021-04-21,85.05065,108.07172,166.30258
2021-04-22,85.52766,109.57375,113.7738
2021-04-23,87.87057,116.95924,146.73119
2021-04-24,89.47162,118.4466,111.81663
