,date,indicator,value
290,2009-11-30,Median 1 year,2.7
291,2009-11-30,Median 5 year,3.0
292,2009-10-31,Median 1 year,2.9
293,2009-10-31,Median 5 year,2.9
294,2009-09-30,Median 1 year,2.2
295,2009-09-30,Median 5 year,2.8
296,2009-08-31,Median 1 year,2.8
297,2009-08-31,Median 5 year,2.8
298,2009-07-31,Median 1 year,2.9
299,2009-07-31,Median 5 year,3.0
300,2009-06-30,Median 1 year,3.1
301,2009-06-30,Median 5 year,3.0
302,2009-05-31,Median 1 year,2.8
303,2009-05-31,Median 5 year,2.9
304,2009-04-30,Median 1 year,2.8
305,2009-04-30,Median 5 year,2.8
306,2009-03-31,Median 1 year,2.0
307,2009-03-31,Median 5 year,2.6
308,2009-02-28,Median 1 year,1.9
309,2009-02-28,Median 5 year,3.1
310,2009-01-31,Median 1 year,2.2
311,2009-01-31,Median 5 year,2.9
312,2008-12-31,Median 1 year,1.7
313,2008-12-31,Median 5 year,2.6
314,2008-11-30,Median 1 year,2.9
315,2008-11-30,Median 5 year,2.9
316,2008-10-31,Median 1 year,3.9
317,2008-10-31,Median 5 year,2.9
318,2008-09-30,Median 1 year,4.3
319,2008-09-30,Median 5 year,3.0
320,2008-08-31,Median 1 year,4.8
321,2008-08-31,Median 5 year,3.2
322,2008-07-31,Median 1 year,5.1
323,2008-07-31,Median 5 year,3.2
324,2008-06-30,Median 1 year,5.1
325,2008-06-30,Median 5 year,3.4
326,2008-05-31,Median 1 year,5.2
327,2008-05-31,Median 5 year,3.4
328,2008-04-30,Median 1 year,4.8
329,2008-04-30,Median 5 year,3.2
330,2008-03-31,Median 1 year,4.3
331,2008-03-31,Median 5 year,2.9
332,2008-02-29,Median 1 year,3.6
333,2008-02-29,Median 5 year,3.0
334,2008-01-31,Median 1 year,3.4
335,2008-01-31,Median 5 year,3.0
336,2007-12-31,Median 1 year,3.4
337,2007-12-31,Median 5 year,3.1
338,2007-11-30,Median 1 year,3.4
339,2007-11-30,Median 5 year,2.9
340,2007-10-31,Median 1 year,3.1
341,2007-10-31,Median 5 year,2.8
342,2007-09-30,Median 1 year,3.1
343,2007-09-30,Median 5 year,2.9
344,2007-08-31,Median 1 year,3.2
345,2007-08-31,Median 5 year,2.9
346,2007-07-31,Median 1 year,3.4
347,2007-07-31,Median 5 year,3.1
348,2007-06-30,Median 1 year,3.4
349,2007-06-30,Median 5 year,2.9
350,2007-05-31,Median 1 year,3.3
351,2007-05-31,Median 5 year,3.1
352,2007-04-30,Median 1 year,3.3
353,2007-04-30,Median 5 year,3.1
354,2007-03-31,Median 1 year,3.0
355,2007-03-31,Median 5 year,2.9
356,2007-02-28,Median 1 year,3.0
357,2007-02-28,Median 5 year,2.9
358,2007-01-31,Median 1 year,3.0
359,2007-01-31,Median 5 year,3.0
360,2006-12-31,Median 1 year,2.9
361,2006-12-31,Median 5 year,3.0
362,2006-11-30,Median 1 year,3.0
363,2006-11-30,Median 5 year,3.0
364,2006-10-31,Median 1 year,3.1
365,2006-10-31,Median 5 year,3.1
366,2006-09-30,Median 1 year,3.1
367,2006-09-30,Median 5 year,3.0
368,2006-08-31,Median 1 year,3.8
369,2006-08-31,Median 5 year,3.2
370,2006-07-31,Median 1 year,3.2
371,2006-07-31,Median 5 year,2.9
372,2006-06-30,Median 1 year,3.3
373,2006-06-30,Median 5 year,2.9
374,2006-05-31,Median 1 year,4.0
375,2006-05-31,Median 5 year,3.2
376,2006-04-30,Median 1 year,3.3
377,2006-04-30,Median 5 year,3.1
378,2006-03-31,Median 1 year,3.0
379,2006-03-31,Median 5 year,2.9
380,2006-02-28,Median 1 year,3.0
381,2006-02-28,Median 5 year,2.9
382,2006-01-31,Median 1 year,3.0
383,2006-01-31,Median 5 year,2.9
384,2005-12-31,Median 1 year,3.1
385,2005-12-31,Median 5 year,3.1
386,2005-11-30,Median 1 year,3.3
387,2005-11-30,Median 5 year,3.0
388,2005-10-31,Median 1 year,4.6
389,2005-10-31,Median 5 year,3.2
390,2005-09-30,Median 1 year,4.3
391,2005-09-30,Median 5 year,3.1
392,2005-08-31,Median 1 year,3.1
393,2005-08-31,Median 5 year,2.8
394,2005-07-31,Median 1 year,3.0
395,2005-07-31,Median 5 year,2.9
396,2005-06-30,Median 1 year,3.2
397,2005-06-30,Median 5 year,2.8
398,2005-05-31,Median 1 year,3.2
399,2005-05-31,Median 5 year,2.9
400,2005-04-30,Median 1 year,3.3
401,2005-04-30,Median 5 year,3.0
402,2005-03-31,Median 1 year,3.2
403,2005-03-31,Median 5 year,2.9
404,2005-02-28,Median 1 year,2.9
405,2005-02-28,Median 5 year,2.8
406,2005-01-31,Median 1 year,2.9
407,2005-01-31,Median 5 year,2.7
408,2004-12-31,Median 1 year,3.0
409,2004-12-31,Median 5 year,2.8
410,2004-11-30,Median 1 year,2.8
411,2004-11-30,Median 5 year,2.7
412,2004-10-31,Median 1 year,3.1
413,2004-10-31,Median 5 year,2.8
414,2004-09-30,Median 1 year,2.8
415,2004-09-30,Median 5 year,2.8
416,2004-08-31,Median 1 year,2.8
417,2004-08-31,Median 5 year,2.7
418,2004-07-31,Median 1 year,3.0
419,2004-07-31,Median 5 year,2.8
420,2004-06-30,Median 1 year,3.3
421,2004-06-30,Median 5 year,2.9
422,2004-05-31,Median 1 year,3.3
423,2004-05-31,Median 5 year,2.8
424,2004-04-30,Median 1 year,3.2
425,2004-04-30,Median 5 year,2.7
426,2004-03-31,Median 1 year,2.9
427,2004-03-31,Median 5 year,2.9
428,2004-02-29,Median 1 year,2.6
429,2004-02-29,Median 5 year,2.9
430,2004-01-31,Median 1 year,2.7
431,2004-01-31,Median 5 year,2.8
432,2003-12-31,Median 1 year,2.6
433,2003-12-31,Median 5 year,2.8
434,2003-11-30,Median 1 year,2.7
435,2003-11-30,Median 5 year,2.7
436,2003-10-31,Median 1 year,2.6
437,2003-10-31,Median 5 year,2.8
438,2003-09-30,Median 1 year,2.8
439,2003-09-30,Median 5 year,2.7
440,2003-08-31,Median 1 year,2.5
441,2003-08-31,Median 5 year,2.7
442,2003-07-31,Median 1 year,1.7
443,2003-07-31,Median 5 year,2.7
444,2003-06-30,Median 1 year,2.1
445,2003-06-30,Median 5 year,2.7
446,2003-05-31,Median 1 year,2.0
447,2003-05-31,Median 5 year,2.8
448,2003-04-30,Median 1 year,2.4
449,2003-04-30,Median 5 year,2.7
450,2003-03-31,Median 1 year,3.1
451,2003-03-31,Median 5 year,2.8
452,2003-02-28,Median 1 year,2.7
453,2003-02-28,Median 5 year,2.7
454,2003-01-31,Median 1 year,2.5
455,2003-01-31,Median 5 year,2.7
456,2002-12-31,Median 1 year,2.5
457,2002-12-31,Median 5 year,2.8
458,2002-11-30,Median 1 year,2.4
459,2002-11-30,Median 5 year,2.8
460,2002-10-31,Median 1 year,2.5
461,2002-10-31,Median 5 year,2.8
462,2002-09-30,Median 1 year,2.5
463,2002-09-30,Median 5 year,2.5
464,2002-08-31,Median 1 year,2.6
465,2002-08-31,Median 5 year,2.9
466,2002-07-31,Median 1 year,2.6
467,2002-07-31,Median 5 year,2.8
468,2002-06-30,Median 1 year,2.7
469,2002-06-30,Median 5 year,2.8
470,2002-05-31,Median 1 year,2.7
471,2002-05-31,Median 5 year,3.0
472,2002-04-30,Median 1 year,2.8
473,2002-04-30,Median 5 year,2.8
474,2002-03-31,Median 1 year,2.7
475,2002-03-31,Median 5 year,2.8
476,2002-02-28,Median 1 year,2.1
477,2002-02-28,Median 5 year,2.8
478,2002-01-31,Median 1 year,1.9
479,2002-01-31,Median 5 year,2.7
480,2001-12-31,Median 1 year,1.8
481,2001-12-31,Median 5 year,3.0
482,2001-11-30,Median 1 year,0.4
483,2001-11-30,Median 5 year,2.8
484,2001-10-31,Median 1 year,1.0
485,2001-10-31,Median 5 year,2.7
486,2001-09-30,Median 1 year,2.8
487,2001-09-30,Median 5 year,2.9
488,2001-08-31,Median 1 year,2.7
489,2001-08-31,Median 5 year,3.0
490,2001-07-31,Median 1 year,2.6
491,2001-07-31,Median 5 year,2.9
492,2001-06-30,Median 1 year,3.0
493,2001-06-30,Median 5 year,3.0
494,2001-05-31,Median 1 year,3.2
495,2001-05-31,Median 5 year,3.0
496,2001-04-30,Median 1 year,3.1
497,2001-04-30,Median 5 year,3.1
498,2001-03-31,Median 1 year,2.8
499,2001-03-31,Median 5 year,3.0
500,2001-02-28,Median 1 year,2.8
501,2001-02-28,Median 5 year,3.0
502,2001-01-31,Median 1 year,3.0
503,2001-01-31,Median 5 year,2.9
504,2000-12-31,Median 1 year,2.8
505,2000-12-31,Median 5 year,3.0
506,2000-11-30,Median 1 year,2.9
507,2000-11-30,Median 5 year,2.9
508,2000-10-31,Median 1 year,3.2
509,2000-10-31,Median 5 year,3.0
510,2000-09-30,Median 1 year,2.9
511,2000-09-30,Median 5 year,3.0
512,2000-08-31,Median 1 year,2.7
513,2000-08-31,Median 5 year,2.9
514,2000-07-31,Median 1 year,3.0
515,2000-07-31,Median 5 year,2.8
516,2000-06-30,Median 1 year,2.9
517,2000-06-30,Median 5 year,2.8
518,2000-05-31,Median 1 year,3.0
519,2000-05-31,Median 5 year,2.9
520,2000-04-30,Median 1 year,3.2
521,2000-04-30,Median 5 year,2.8
522,2000-03-31,Median 1 year,3.2
523,2000-03-31,Median 5 year,3.1
524,2000-02-29,Median 1 year,2.9
525,2000-02-29,Median 5 year,2.9
526,2000-01-31,Median 1 year,3.0
527,2000-01-31,Median 5 year,3.0
528,1999-12-31,Median 1 year,3.0
529,1999-12-31,Median 5 year,2.9
530,1999-11-30,Median 1 year,2.9
531,1999-11-30,Median 5 year,2.9
532,1999-10-31,Median 1 year,2.9
533,1999-10-31,Median 5 year,2.8
534,1999-09-30,Median 1 year,2.7
535,1999-09-30,Median 5 year,2.9
536,1999-08-31,Median 1 year,2.8
537,1999-08-31,Median 5 year,2.8
538,1999-07-31,Median 1 year,2.7
539,1999-07-31,Median 5 year,2.9
540,1999-06-30,Median 1 year,2.5
541,1999-06-30,Median 5 year,2.8
542,1999-05-31,Median 1 year,2.8
543,1999-05-31,Median 5 year,2.9
544,1999-04-30,Median 1 year,2.7
545,1999-04-30,Median 5 year,2.8
546,1999-03-31,Median 1 year,2.7
547,1999-03-31,Median 5 year,2.7
548,1999-02-28,Median 1 year,2.5
549,1999-02-28,Median 5 year,2.8
550,1999-01-31,Median 1 year,2.7
551,1999-01-31,Median 5 year,3.0
552,1998-12-31,Median 1 year,2.5
553,1998-12-31,Median 5 year,2.9
554,1998-11-30,Median 1 year,2.3
555,1998-11-30,Median 5 year,2.8
556,1998-10-31,Median 1 year,2.5
557,1998-10-31,Median 5 year,2.8
558,1998-09-30,Median 1 year,2.3
559,1998-09-30,Median 5 year,2.9
560,1998-08-31,Median 1 year,2.4
561,1998-08-31,Median 5 year,2.7
562,1998-07-31,Median 1 year,2.6
563,1998-07-31,Median 5 year,2.7
564,1998-06-30,Median 1 year,2.7
565,1998-06-30,Median 5 year,2.9
566,1998-05-31,Median 1 year,2.6
567,1998-05-31,Median 5 year,2.8
568,1998-04-30,Median 1 year,2.4
569,1998-04-30,Median 5 year,2.7
570,1998-03-31,Median 1 year,2.5
571,1998-03-31,Median 5 year,2.8
572,1998-02-28,Median 1 year,2.4
573,1998-02-28,Median 5 year,2.9
574,1998-01-31,Median 1 year,2.3
575,1998-01-31,Median 5 year,2.9
576,1997-12-31,Median 1 year,2.8
577,1997-12-31,Median 5 year,3.1
578,1997-11-30,Median 1 year,2.9
579,1997-11-30,Median 5 year,3.1
580,1997-10-31,Median 1 year,2.8
581,1997-10-31,Median 5 year,3.0
582,1997-09-30,Median 1 year,2.8
583,1997-09-30,Median 5 year,3.1
584,1997-08-31,Median 1 year,2.7
585,1997-08-31,Median 5 year,3.0
586,1997-07-31,Median 1 year,2.7
587,1997-07-31,Median 5 year,2.9
588,1997-06-30,Median 1 year,2.8
589,1997-06-30,Median 5 year,3.1
590,1997-05-31,Median 1 year,2.9
591,1997-05-31,Median 5 year,3.0
592,1997-04-30,Median 1 year,3.0
593,1997-04-30,Median 5 year,2.9
594,1997-03-31,Median 1 year,2.8
595,1997-03-31,Median 5 year,3.0
596,1997-02-28,Median 1 year,3.0
597,1997-02-28,Median 5 year,3.1
598,1997-01-31,Median 1 year,3.0
599,1997-01-31,Median 5 year,3.2
600,1996-12-31,Median 1 year,3.0
601,1996-12-31,Median 5 year,3.0
602,1996-11-30,Median 1 year,3.0
603,1996-11-30,Median 5 year,3.0
604,1996-10-31,Median 1 year,3.0
605,1996-10-31,Median 5 year,3.0
606,1996-09-30,Median 1 year,3.2
607,1996-09-30,Median 5 year,3.2
608,1996-08-31,Median 1 year,3.1
609,1996-08-31,Median 5 year,3.3
610,1996-07-31,Median 1 year,3.0
611,1996-07-31,Median 5 year,3.2
612,1996-06-30,Median 1 year,2.9
613,1996-06-30,Median 5 year,3.1
614,1996-05-31,Median 1 year,3.1
615,1996-05-31,Median 5 year,3.3
616,1996-04-30,Median 1 year,3.0
617,1996-04-30,Median 5 year,3.0
618,1996-03-31,Median 1 year,2.9
619,1996-03-31,Median 5 year,3.2
620,1996-02-29,Median 1 year,2.8
621,1996-02-29,Median 5 year,3.3
622,1996-01-31,Median 1 year,2.8
623,1996-01-31,Median 5 year,3.2
624,1995-12-31,Median 1 year,2.7
625,1995-12-31,Median 5 year,3.1
626,1995-11-30,Median 1 year,2.8
627,1995-11-30,Median 5 year,3.1
628,1995-10-31,Median 1 year,2.9
629,1995-10-31,Median 5 year,3.2
630,1995-09-30,Median 1 year,2.8
631,1995-09-30,Median 5 year,3.1
632,1995-08-31,Median 1 year,2.9
633,1995-08-31,Median 5 year,3.1
634,1995-07-31,Median 1 year,2.9
635,1995-07-31,Median 5 year,3.2
636,1995-06-30,Median 1 year,2.9
637,1995-06-30,Median 5 year,3.1
