,Month,Region,Index,Date
269,June 2015,"Inverclyde, East Renfrewshire and Renfrewshire",102.5,28 June 2015
270,June 2015,North Lanarkshire,103.8,28 June 2015
271,June 2015,Scottish Borders,102.6,28 June 2015
272,June 2015,Dumfries and Galloway,102.7,28 June 2015
273,June 2015,East Ayrshire and North Ayrshire mainland,101.7,28 June 2015
274,June 2015,South Ayrshire,102.1,28 June 2015
275,June 2015,South Lanarkshire,102.1,28 June 2015
276,July 2015,Aberdeen City and Aberdeenshire,97.4,28 July 2015
277,July 2015,Caithness and Sutherland and Ross and Cromarty,101.8,28 July 2015
278,July 2015,"Inverness and Nairn and Moray, Badenoch and Strathspey",102.6,28 July 2015
279,July 2015,"Lochaber, Skye and Lochalsh, Arran and Cumbrae and Argyll and Bute",102.4,28 July 2015
280,July 2015,Na h-Eileanan Siar,99.9,28 July 2015
281,July 2015,Orkney Islands,103.1,28 July 2015
282,July 2015,Shetland Islands,98.7,28 July 2015
283,July 2015,Angus and Dundee City,101.5,28 July 2015
284,July 2015,Clackmannanshire and Fife,102.2,28 July 2015
285,July 2015,East Lothian and Midlothian,101.3,28 July 2015
286,July 2015,City of Edinburgh,102.4,28 July 2015
287,July 2015,Falkirk,102.9,28 July 2015
288,July 2015,Perth and Kinross and Stirling,102.9,28 July 2015
289,July 2015,West Lothian,103.8,28 July 2015
290,July 2015,"East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond",102.6,28 July 2015
291,July 2015,Glasgow City,103.8,28 July 2015
292,July 2015,"Inverclyde, East Renfrewshire and Renfrewshire",103.8,28 July 2015
293,July 2015,North Lanarkshire,104.3,28 July 2015
294,July 2015,Scottish Borders,103.6,28 July 2015
295,July 2015,Dumfries and Galloway,103.2,28 July 2015
296,July 2015,East Ayrshire and North Ayrshire mainland,102.1,28 July 2015
297,July 2015,South Ayrshire,102.5,28 July 2015
298,July 2015,South Lanarkshire,102.7,28 July 2015
299,August 2015,Aberdeen City and Aberdeenshire,96.2,28 August 2015
300,August 2015,Caithness and Sutherland and Ross and Cromarty,100.7,28 August 2015
301,August 2015,"Inverness and Nairn and Moray, Badenoch and Strathspey",102.6,28 August 2015
302,August 2015,"Lochaber, Skye and Lochalsh, Arran and Cumbrae and Argyll and Bute",101.7,28 August 2015
303,August 2015,Na h-Eileanan Siar,99.0,28 August 2015
304,August 2015,Orkney Islands,103.4,28 August 2015
305,August 2015,Shetland Islands,98.2,28 August 2015
306,August 2015,Angus and Dundee City,101.0,28 August 2015
307,August 2015,Clackmannanshire and Fife,101.4,28 August 2015
308,August 2015,East Lothian and Midlothian,101.4,28 August 2015
309,August 2015,City of Edinburgh,102.3,28 August 2015
310,August 2015,Falkirk,103.4,28 August 2015
311,August 2015,Perth and Kinross and Stirling,102.8,28 August 2015
312,August 2015,West Lothian,103.0,28 August 2015
313,August 2015,"East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond",102.5,28 August 2015
314,August 2015,Glasgow City,104.2,28 August 2015
315,August 2015,"Inverclyde, East Renfrewshire and Renfrewshire",103.6,28 August 2015
316,August 2015,North Lanarkshire,102.0,28 August 2015
317,August 2015,Scottish Borders,102.7,28 August 2015
318,August 2015,Dumfries and Galloway,103.7,28 August 2015
319,August 2015,East Ayrshire and North Ayrshire mainland,102.5,28 August 2015
320,August 2015,South Ayrshire,102.7,28 August 2015
321,August 2015,South Lanarkshire,102.7,28 August 2015
322,September 2015,Aberdeen City and Aberdeenshire,95.8,28 September 2015
323,September 2015,Caithness and Sutherland and Ross and Cromarty,100.9,28 September 2015
324,September 2015,"Inverness and Nairn and Moray, Badenoch and Strathspey",101.6,28 September 2015
325,September 2015,"Lochaber, Skye and Lochalsh, Arran and Cumbrae and Argyll and Bute",100.8,28 September 2015
326,September 2015,Na h-Eileanan Siar,100.0,28 September 2015
