,year,gdp,gva,lngdp,lngva
273,1973,821203.0,730275.0,13.618525617310695,13.501176454515067
274,1974,800801.0,713597.0,13.593367755733617,13.478073656203225
275,1975,789000.0,703403.0,13.578521599828012,13.463685264011502
276,1976,811962.0,722368.0,13.607208820019196,13.490289983315298
277,1977,831918.0,739109.0,13.63148915725391,13.513200685670832
278,1978,866894.0,766724.0,13.67267198761926,13.549882172043883
279,1979,899394.0,792348.0,13.709476482182415,13.582755968230709
280,1980,881124.0,776583.0,13.68895364416278,13.562658805749097
281,1981,874183.0,772453.0,13.68104501487132,13.557326444479175
282,1982,891622.0,790115.0,13.700797554931471,13.579933783469228
283,1983,929265.0,823237.0,13.742149230079258,13.620999409041959
284,1984,950351.0,839316.0,13.76458666902234,13.640342553394515
285,1985,989766.0,875889.0,13.805223830536121,13.682994649561076
286,1986,1020947.0,901060.0,13.836241185907175,13.711327127048087
287,1987,1076004.0,948961.0,13.888764737169076,13.763122980857196
288,1988,1137685.0,1002387.0,13.944506053945858,13.817894713605199
289,1989,1167010.0,1029009.0,13.96995548021227,13.844106761133622
290,1990,1175573.0,1039016.0,13.977266246267577,13.853784669385316
291,1991,1162605.0,1031662.0,13.966173734945455,13.846681651997613
292,1992,1167268.0,1037393.0,13.970176533575282,13.852221393238345
293,1993,1196331.0,1063725.0,13.994769931055721,13.877287456830919
294,1994,1242342.0,1102028.0,14.032508865889156,13.912662676720668
295,1995,1273790.0,1126406.0,14.057507266362602,13.934542591076273
296,1996,1305527.0,1152805.0,14.082117348638594,13.957708660923831
297,1997,1355853.0,1195548.0,14.11994133452636,13.994115215639122
298,1998,1405272.0,1235664.0,14.155741436319074,14.027119035383121
299,1999,1453448.0,1278338.0,14.189449222627307,14.061071354695422
300,2000,1503408.0,1327454.0,14.223245088983132,14.098773379897096
301,2001,1548124.0,1365915.0,14.25255443328288,14.127335091700946
302,2002,1584110.0,1397848.0,14.275533293389799,14.150444469112207
303,2003,1636169.0,1444066.0,14.307868091543172,14.182973303761596
304,2004,1675011.0,1479531.0,14.331330290383919,14.20723570362756
305,2005,1728273.0,1533055.0,14.362633201978758,14.242773034575018
306,2006,1776462.0,1573781.0,14.39013430384011,14.26899156231984
307,2007,1819641.0,1611780.0,14.414149786848844,14.292849716308156
308,2008,1814526.0,1609932.0,14.41133483454886,14.291702500043835
309,2009,1737448.0,1542729.0,14.367927927915677,14.249063484034275
310,2010,1771321.0,1576917.0,14.387236153869614,14.270982232981138
