prod,prodname,rst4submarket,NPM,pricepercal,npacks
3,"Fresh vegetables","Mixed Tray Salads",-7,1.8696447,3549
3,"Fresh vegetables","Mixed Tray Salads",-6,.88726345,3244
3,"Fresh vegetables","Mixed Tray Salads",-5,1.2707358,2527
3,"Fresh vegetables","Mixed Tray Salads",-4,1.3712692,292
3,"Fresh vegetables","Mixed Tray Salads",-3,.90786641,150
3,"Fresh vegetables","Mixed Tray Salads",-2,1.0090456,321
3,"Fresh vegetables","Mixed Tray Salads",-1,.86268025,281
3,"Fresh vegetables","Mushroom",-13,2.0389665,634
3,"Fresh vegetables","Mushroom",-10,2.4707762,534
3,"Fresh vegetables","Mushroom",-9,1.7553359,4017
3,"Fresh vegetables","Mushroom",-8,1.5858531,7321
3,"Fresh vegetables","Mushroom",-7,2.1023169,116598
3,"Fresh vegetables","Mushroom",-6,5.4793839,7180
3,"Fresh vegetables","Mushroom",-5,4.7007719,70103
3,"Fresh vegetables","Mustard+Cress",-9,.87098272,1187
3,"Fresh vegetables","Mustard+Cress",-7,1.300309,4585
3,"Fresh vegetables","New Potatoes",-7,.27420606,80847
3,"Fresh vegetables","New Potatoes",-6,.21316795,115866
3,"Fresh vegetables","Okra",-10,2.2386129,276
3,"Fresh vegetables","Okra",-9,2.751626,295
3,"Fresh vegetables","Old Potatoes",-8,.12093934,2307
3,"Fresh vegetables","Old Potatoes",-7,.09803623,157811
3,"Fresh vegetables","Old Potatoes",-6,.11218725,82752
3,"Fresh vegetables","Onions",-8,.50658672,92
3,"Fresh vegetables","Onions",-7,.3407952,67422
3,"Fresh vegetables","Onions",-6,.4186705,43150
3,"Fresh vegetables","Onions",-5,.39071564,167340
3,"Fresh vegetables","Onions",-4,.16853234,8398
3,"Fresh vegetables","Other Brassicas",-6,3.1274875,67
3,"Fresh vegetables","Other Brassicas",-5,2.3583333,150
3,"Fresh vegetables","Other Root Crops",-8,2.6721755,40
3,"Fresh vegetables","Other Root Crops",-7,1.2062451,66
3,"Fresh vegetables","Other Vegetables",-5,2.1751303,403
3,"Fresh vegetables","Other Vegetables",1,1.3170498,94
3,"Fresh vegetables","Pak Choi",-7,3.1023558,1585
3,"Fresh vegetables","Pak Choi",-6,4.1072522,3368
3,"Fresh vegetables","Parsley-Curly",-9,1.8663907,1918
3,"Fresh vegetables","Parsley-Curly",-8,3.4423338,5189
3,"Fresh vegetables","Parsley-Flat Leaf",-11,3.9020131,2014
3,"Fresh vegetables","Parsley-Flat Leaf",-10,4.8560536,5766
3,"Fresh vegetables","Parsley-Flat Leaf",-9,2.3285073,1930
3,"Fresh vegetables","Parsnips",-11,2.0814668,138
3,"Fresh vegetables","Parsnips",-10,.23116078,3306
3,"Fresh vegetables","Parsnips",-9,.28215455,64484
