,Quarter Ending,duration,value,order
297,30-Jun-21,>78-91 weeks,26400.0,>78-91 weeks
298,30-Jun-21,>91-104 weeks,22151.0,>91-104 weeks
299,30-Jun-21,>104 weeks,97959.0,>104 weeks
300,30-Jun-21,>18 weeks,0.0,>18 weeks
301,30-Jun-21,>18-52 weeks,74938.0,>18-52 weeks
302,30-Jun-21,> 13 - 26 weeks,0.0,> 13 - 26 weeks
303,30-Jun-21,>52 weeks,191369.0,2
304,30-Jun-21,> 26 weeks,0.0,> 26 weeks
305,30-Jun-21,Total Waiting,362173.0,Total Waiting
306,30-Jun-21,<9 weeks,84302.0,0
307,30-Jun-21,>9-52 weeks,86502.0,1
308,30-Sep-15,0 - 6 weeks,57149.0,0 - 6 weeks
309,30-Sep-15,> 6 - 9 weeks,18885.0,> 6 - 9 weeks
310,30-Sep-15,> 9 - 13 weeks,0.0,> 9 - 13 weeks
311,30-Sep-15,> 9 - 12 weeks,15033.0,> 9 - 12 weeks
312,30-Sep-15,> 12-15 weeks,15442.0,> 12-15 weeks
313,30-Sep-15,> 15-18 weeks,14395.0,> 15-18 weeks
314,30-Sep-15,>18-26 weeks,29215.0,>18-26 weeks
315,30-Sep-15,>26-39 weeks,36315.0,>26-39 weeks
316,30-Sep-15,>39-52 weeks,23351.0,>39-52 weeks
317,30-Sep-15,>52-65 weeks,12131.0,>52-65 weeks
318,30-Sep-15,>65-78 weeks,6220.0,>65-78 weeks
319,30-Sep-15,>78-91 weeks,1611.0,>78-91 weeks
320,30-Sep-15,>91-104 weeks,701.0,>91-104 weeks
321,30-Sep-15,>104 weeks,177.0,>104 weeks
322,30-Sep-15,>18 weeks,109721.0,>18 weeks
323,30-Sep-15,>18-52 weeks,88881.0,>18-52 weeks
324,30-Sep-15,> 13 - 26 weeks,0.0,> 13 - 26 weeks
325,30-Sep-15,>52 weeks,20840.0,2
326,30-Sep-15,> 26 weeks,0.0,> 26 weeks
327,30-Sep-15,Total Waiting,230625.0,Total Waiting
328,30-Sep-15,<9 weeks,104824.0,0
329,30-Sep-15,>9-52 weeks,104961.0,1
330,30-Sep-16,0 - 6 weeks,57466.0,0 - 6 weeks
331,30-Sep-16,> 6 - 9 weeks,18425.0,> 6 - 9 weeks
332,30-Sep-16,> 9 - 13 weeks,0.0,> 9 - 13 weeks
333,30-Sep-16,> 9 - 12 weeks,13582.0,> 9 - 12 weeks
334,30-Sep-16,> 12-15 weeks,15352.0,> 12-15 weeks
335,30-Sep-16,> 15-18 weeks,12739.0,> 15-18 weeks
336,30-Sep-16,>18-26 weeks,30922.0,>18-26 weeks
337,30-Sep-16,>26-39 weeks,33266.0,>26-39 weeks
338,30-Sep-16,>39-52 weeks,21832.0,>39-52 weeks
339,30-Sep-16,>52-65 weeks,15142.0,>52-65 weeks
340,30-Sep-16,>65-78 weeks,9825.0,>65-78 weeks
341,30-Sep-16,>78-91 weeks,6478.0,>78-91 weeks
342,30-Sep-16,>91-104 weeks,3926.0,>91-104 weeks
343,30-Sep-16,>104 weeks,4186.0,>104 weeks
344,30-Sep-16,>18 weeks,0.0,>18 weeks
345,30-Sep-16,>18-52 weeks,86020.0,>18-52 weeks
346,30-Sep-16,> 13 - 26 weeks,0.0,> 13 - 26 weeks
347,30-Sep-16,>52 weeks,39557.0,2
348,30-Sep-16,> 26 weeks,0.0,> 26 weeks
349,30-Sep-16,Total Waiting,243141.0,Total Waiting
350,30-Sep-16,<9 weeks,101369.0,0
351,30-Sep-16,>9-52 weeks,102215.0,1
352,30-Sep-17,0 - 6 weeks,51483.0,0 - 6 weeks
353,30-Sep-17,> 6 - 9 weeks,17695.0,> 6 - 9 weeks
354,30-Sep-17,> 9 - 13 weeks,0.0,> 9 - 13 weeks
355,30-Sep-17,> 9 - 12 weeks,13162.0,> 9 - 12 weeks
356,30-Sep-17,> 12-15 weeks,13887.0,> 12-15 weeks
357,30-Sep-17,> 15-18 weeks,11889.0,> 15-18 weeks
358,30-Sep-17,>18-26 weeks,27416.0,>18-26 weeks
359,30-Sep-17,>26-39 weeks,37992.0,>26-39 weeks
360,30-Sep-17,>39-52 weeks,25752.0,>39-52 weeks
361,30-Sep-17,>52-65 weeks,21688.0,>52-65 weeks
362,30-Sep-17,>65-78 weeks,18881.0,>65-78 weeks
363,30-Sep-17,>78-91 weeks,11471.0,>78-91 weeks
364,30-Sep-17,>91-104 weeks,6859.0,>91-104 weeks
365,30-Sep-17,>104 weeks,14481.0,>104 weeks
366,30-Sep-17,>18 weeks,0.0,>18 weeks
367,30-Sep-17,>18-52 weeks,91160.0,>18-52 weeks
368,30-Sep-17,> 13 - 26 weeks,0.0,> 13 - 26 weeks
369,30-Sep-17,>52 weeks,73380.0,2
370,30-Sep-17,> 26 weeks,0.0,> 26 weeks
371,30-Sep-17,Total Waiting,272656.0,Total Waiting
372,30-Sep-17,<9 weeks,92956.0,0
373,30-Sep-17,>9-52 weeks,106320.0,1
374,30-Sep-18,0 - 6 weeks,53334.0,0 - 6 weeks
375,30-Sep-18,> 6 - 9 weeks,17178.0,> 6 - 9 weeks
376,30-Sep-18,> 9 - 13 weeks,0.0,> 9 - 13 weeks
377,30-Sep-18,> 9 - 12 weeks,12823.0,> 9 - 12 weeks
378,30-Sep-18,> 12-15 weeks,13052.0,> 12-15 weeks
379,30-Sep-18,> 15-18 weeks,11540.0,> 15-18 weeks
380,30-Sep-18,>18-26 weeks,25616.0,>18-26 weeks
381,30-Sep-18,>26-39 weeks,30748.0,>26-39 weeks
382,30-Sep-18,>39-52 weeks,24984.0,>39-52 weeks
383,30-Sep-18,>52-65 weeks,21044.0,>52-65 weeks
384,30-Sep-18,>65-78 weeks,18655.0,>65-78 weeks
385,30-Sep-18,>78-91 weeks,15848.0,>78-91 weeks
386,30-Sep-18,>91-104 weeks,10913.0,>91-104 weeks
387,30-Sep-18,>104 weeks,27762.0,>104 weeks
388,30-Sep-18,>18 weeks,0.0,>18 weeks
389,30-Sep-18,>18-52 weeks,81348.0,>18-52 weeks
390,30-Sep-18,> 13 - 26 weeks,0.0,> 13 - 26 weeks
391,30-Sep-18,>52 weeks,94222.0,2
392,30-Sep-18,> 26 weeks,0.0,> 26 weeks
393,30-Sep-18,Total Waiting,283497.0,Total Waiting
394,30-Sep-18,<9 weeks,93592.0,0
395,30-Sep-18,>9-52 weeks,95683.0,1
396,30-Sep-19,0 - 6 weeks,56428.0,0 - 6 weeks
397,30-Sep-19,> 6 - 9 weeks,17929.0,> 6 - 9 weeks
398,30-Sep-19,> 9 - 13 weeks,0.0,> 9 - 13 weeks
399,30-Sep-19,> 9 - 12 weeks,13689.0,> 9 - 12 weeks
400,30-Sep-19,> 12-15 weeks,14048.0,> 12-15 weeks
401,30-Sep-19,> 15-18 weeks,12205.0,> 15-18 weeks
402,30-Sep-19,>18-26 weeks,26025.0,>18-26 weeks
403,30-Sep-19,>26-39 weeks,32979.0,>26-39 weeks
404,30-Sep-19,>39-52 weeks,25553.0,>39-52 weeks
405,30-Sep-19,>52-65 weeks,20580.0,>52-65 weeks
406,30-Sep-19,>65-78 weeks,18441.0,>65-78 weeks
407,30-Sep-19,>78-91 weeks,14785.0,>78-91 weeks
408,30-Sep-19,>91-104 weeks,12692.0,>91-104 weeks
409,30-Sep-19,>104 weeks,42084.0,>104 weeks
410,30-Sep-19,>18 weeks,0.0,>18 weeks
411,30-Sep-19,>18-52 weeks,84557.0,>18-52 weeks
412,30-Sep-19,> 13 - 26 weeks,0.0,> 13 - 26 weeks
413,30-Sep-19,>52 weeks,108582.0,2
414,30-Sep-19,> 26 weeks,0.0,> 26 weeks
415,30-Sep-19,Total Waiting,307438.0,Total Waiting
416,30-Sep-19,<9 weeks,98767.0,0
417,30-Sep-19,>9-52 weeks,100089.0,1
418,30-Sep-20,0 - 6 weeks,38086.0,0 - 6 weeks
419,30-Sep-20,> 6 - 9 weeks,11699.0,> 6 - 9 weeks
420,30-Sep-20,> 9 - 13 weeks,0.0,> 9 - 13 weeks
421,30-Sep-20,> 9 - 12 weeks,9228.0,> 9 - 12 weeks
422,30-Sep-20,> 12-15 weeks,8584.0,> 12-15 weeks
423,30-Sep-20,> 15-18 weeks,6707.0,> 15-18 weeks
424,30-Sep-20,>18-26 weeks,11722.0,>18-26 weeks
425,30-Sep-20,>26-39 weeks,50815.0,>26-39 weeks
