pre_tax,tax,earning,amount
50500,14621.75,after_childcare,25969.85
50600,14678.75,before_childcare,38172.85
50600,14678.75,after_childcare,26012.85
50700,14735.75,before_childcare,38215.85
50700,14735.75,after_childcare,26055.85
50800,14792.75,before_childcare,38258.85
50800,14792.75,after_childcare,26098.85
50900,14849.75,before_childcare,38301.85
50900,14849.75,after_childcare,26141.85
51000,14906.75,before_childcare,38344.85
51000,14906.75,after_childcare,26184.85
51100,14963.75,before_childcare,38387.85
51100,14963.75,after_childcare,26227.85
51200,15020.75,before_childcare,38430.85
51200,15020.75,after_childcare,26270.85
51300,15077.75,before_childcare,38473.85
51300,15077.75,after_childcare,26313.85
51400,15134.75,before_childcare,38516.85
51400,15134.75,after_childcare,26356.85
51500,15191.75,before_childcare,38559.85
51500,15191.75,after_childcare,26399.85
51600,15248.75,before_childcare,38602.85
51600,15248.75,after_childcare,26442.85
51700,15305.75,before_childcare,38645.85
51700,15305.75,after_childcare,26485.85
51800,15362.75,before_childcare,38688.85
51800,15362.75,after_childcare,26528.85
51900,15419.75,before_childcare,38731.85
51900,15419.75,after_childcare,26571.85
52000,15476.75,before_childcare,38774.85
52000,15476.75,after_childcare,26614.85
52100,15533.75,before_childcare,38817.85
52100,15533.75,after_childcare,26657.85
52200,15590.75,before_childcare,38860.85
52200,15590.75,after_childcare,26700.85
52300,15647.75,before_childcare,38903.85
52300,15647.75,after_childcare,26743.85
52400,15704.75,before_childcare,38946.85
52400,15704.75,after_childcare,26786.85
52500,15761.75,before_childcare,38989.85
52500,15761.75,after_childcare,26829.85
52600,15818.75,before_childcare,39032.85
52600,15818.75,after_childcare,26872.85
52700,15875.75,before_childcare,39075.85
52700,15875.75,after_childcare,26915.85
52800,15932.75,before_childcare,39118.85
52800,15932.75,after_childcare,26958.85
52900,15989.75,before_childcare,39161.85
52900,15989.75,after_childcare,27001.85
53000,16046.75,before_childcare,39204.85
53000,16046.75,after_childcare,27044.85
53100,16103.75,before_childcare,39247.85
53100,16103.75,after_childcare,27087.85
53200,16160.75,before_childcare,39290.85
53200,16160.75,after_childcare,27130.85
53300,16217.75,before_childcare,39333.85
53300,16217.75,after_childcare,27173.85
53400,16274.75,before_childcare,39376.85
53400,16274.75,after_childcare,27216.85
53500,16331.75,before_childcare,39419.85
53500,16331.75,after_childcare,27259.85
53600,16388.75,before_childcare,39462.85
53600,16388.75,after_childcare,27302.85
53700,16445.75,before_childcare,39505.85
53700,16445.75,after_childcare,27345.85
53800,16502.75,before_childcare,39548.85
53800,16502.75,after_childcare,27388.85
53900,16559.75,before_childcare,39591.85
53900,16559.75,after_childcare,27431.85
54000,16616.75,before_childcare,39634.85
54000,16616.75,after_childcare,27474.85
54100,16673.75,before_childcare,39677.85
54100,16673.75,after_childcare,27517.85
54200,16730.75,before_childcare,39720.85
54200,16730.75,after_childcare,27560.85
54300,16787.75,before_childcare,39763.85
54300,16787.75,after_childcare,27603.85
54400,16844.75,before_childcare,39806.85
54400,16844.75,after_childcare,27646.85
54500,16901.75,before_childcare,39849.85
54500,16901.75,after_childcare,27689.85
54600,16958.75,before_childcare,39892.85
54600,16958.75,after_childcare,27732.85
54700,17015.75,before_childcare,39935.85
54700,17015.75,after_childcare,27775.85
54800,17072.75,before_childcare,39978.85
54800,17072.75,after_childcare,27818.85
54900,17129.75,before_childcare,40021.85
54900,17129.75,after_childcare,27861.85
55000,17186.75,before_childcare,40064.85
55000,17186.75,after_childcare,27904.85
55100,17243.75,before_childcare,40107.85
55100,17243.75,after_childcare,27947.85
55200,17300.75,before_childcare,40150.85
55200,17300.75,after_childcare,27990.85
55300,17357.75,before_childcare,40193.85
